,subzone,resident_count,SUBZONE_N,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
0,ADMIRALTY,122160.0,ADMIRALTY,148882.0,165714.0
1,AIRPORT ROAD,0.0,AIRPORT ROAD,15972.0,16128.0
2,ALEXANDRA HILL,139220.0,ALEXANDRA HILL,346946.0,426070.0
3,ALEXANDRA NORTH,10240.0,ALEXANDRA NORTH,39996.0,28688.0
4,ALJUNIED,373160.0,ALJUNIED,1135579.0,1200296.0
5,ANAK BUKIT,199360.0,ANAK BUKIT,451294.0,435355.0
6,ANCHORVALE,332100.0,ANCHORVALE,385267.0,391929.0
7,ANG MO KIO TOWN CENTRE,44430.0,ANG MO KIO TOWN CENTRE,788153.0,747595.0
8,ANSON,0.0,ANSON,40630.0,35764.0
9,BALESTIER,293010.0,BALESTIER,697668.0,715312.0
10,BANGKIT,216250.0,BANGKIT,374836.0,358802.0
11,BAYFRONT SUBZONE,0.0,BAYFRONT SUBZONE,40508.0,37499.0
12,BAYSHORE,65520.0,BAYSHORE,93327.0,51719.0
13,BEDOK NORTH,778920.0,BEDOK NORTH,2168307.0,2210561.0
14,BEDOK RESERVOIR,224440.0,BEDOK RESERVOIR,443594.0,408863.0
15,BEDOK SOUTH,457430.0,BEDOK SOUTH,695663.0,689339.0
16,BENCOOLEN,12420.0,BENCOOLEN,88792.0,88991.0
17,BENDEMEER,311250.0,BENDEMEER,469777.0,490740.0
18,BENOI SECTOR,0.0,BENOI SECTOR,34649.0,28390.0
19,BIDADARI,0.0,BIDADARI,77997.0,57759.0
20,BISHAN EAST,263960.0,BISHAN EAST,701182.0,829928.0
21,BOAT QUAY,870.0,BOAT QUAY,31231.0,61074.0
22,BOON KENG,103380.0,BOON KENG,246887.0,240316.0
23,BOON LAY PLACE,263560.0,BOON LAY PLACE,534806.0,538996.0
24,BOON TECK,137990.0,BOON TECK,180176.0,237366.0
25,BOULEVARD,3400.0,BOULEVARD,472334.0,529577.0
26,BRADDELL,94780.0,BRADDELL,206623.0,193192.0
27,BRAS BASAH,0.0,BRAS BASAH,171705.0,165576.0
28,BRICKWORKS,20200.0,BRICKWORKS,279511.0,299689.0
29,BUGIS,17190.0,BUGIS,258997.0,273815.0
30,BUKIT BATOK CENTRAL,237180.0,BUKIT BATOK CENTRAL,754752.0,712972.0
31,BUKIT BATOK EAST,129980.0,BUKIT BATOK EAST,228969.0,196692.0
32,BUKIT BATOK SOUTH,129360.0,BUKIT BATOK SOUTH,243554.0,251093.0
33,BUKIT BATOK WEST,139380.0,BUKIT BATOK WEST,214453.0,237300.0
34,BUKIT HO SWEE,145450.0,BUKIT HO SWEE,129237.0,125988.0
35,BUKIT MERAH,10490.0,BUKIT MERAH,268716.0,301916.0
36,CAIRNHILL,30380.0,,,
37,CECIL,1220.0,CECIL,78555.0,73300.0
38,CENTRAL SUBZONE,4490.0,CENTRAL SUBZONE,48382.0,70261.0
39,CENTRAL WATER CATCHMENT,0.0,CENTRAL WATER CATCHMENT,112559.0,106986.0
40,CHANGI AIRPORT,0.0,CHANGI AIRPORT,438763.0,438786.0
41,CHANGI BAY,0.0,,,
42,CHANGI POINT,6550.0,CHANGI POINT,104038.0,107773.0
43,CHANGI WEST,14530.0,CHANGI WEST,162321.0,107577.0
44,CHATSWORTH,52190.0,CHATSWORTH,174230.0,158833.0
45,CHENG SAN,266730.0,CHENG SAN,716202.0,592668.0
46,CHIN BEE,0.0,CHIN BEE,61477.0,79183.0
47,CHINA SQUARE,13560.0,CHINA SQUARE,92797.0,99845.0
48,CHINATOWN,103490.0,CHINATOWN,319968.0,256864.0
49,CHOA CHU KANG CENTRAL,191690.0,CHOA CHU KANG CENTRAL,838014.0,785047.0
50,CHOA CHU KANG NORTH,304900.0,CHOA CHU KANG NORTH,262405.0,229518.0
51,CHONG BOON,253560.0,CHONG BOON,528591.0,661744.0
52,CITY HALL,0.0,CITY HALL,203652.0,212646.0
53,CITY TERMINALS,0.0,CITY TERMINALS,41885.0,52001.0
54,CLARKE QUAY,680.0,CLARKE QUAY,129471.0,90993.0
55,CLEMENTI CENTRAL,123460.0,CLEMENTI CENTRAL,994424.0,874793.0
56,CLEMENTI NORTH,262530.0,CLEMENTI NORTH,499042.0,498258.0
57,CLEMENTI WEST,149050.0,CLEMENTI WEST,253224.0,286789.0
58,CLEMENTI WOODS,143750.0,CLEMENTI WOODS,295524.0,292565.0
59,CLIFFORD PIER,0.0,CLIFFORD PIER,43598.0,41568.0
60,COMMONWEALTH,72470.0,COMMONWEALTH,195674.0,156073.0
61,COMPASSVALE,160370.0,COMPASSVALE,277813.0,280606.0
62,CONEY ISLAND,0.0,,,
63,CORONATION ROAD,55990.0,CORONATION ROAD,164145.0,152308.0
64,CRAWFORD,86760.0,CRAWFORD,159675.0,163675.0
65,DAIRY FARM,47110.0,DAIRY FARM,60839.0,67568.0
66,DEFU INDUSTRIAL PARK,0.0,DEFU INDUSTRIAL PARK,105061.0,154934.0
67,DEPOT ROAD,47110.0,DEPOT ROAD,77074.0,88336.0
68,DHOBY GHAUT,1760.0,DHOBY GHAUT,209891.0,240781.0
69,DOVER,111530.0,DOVER,210570.0,221091.0
70,DUNEARN,34510.0,DUNEARN,115431.0,70921.0
71,EAST COAST,0.0,,,
72,EVERTON PARK,78650.0,EVERTON PARK,135437.0,146728.0
73,FABER,42490.0,FABER,91343.0,79754.0
74,FAJAR,238870.0,FAJAR,205187.0,210117.0
75,FARRER COURT,44330.0,FARRER COURT,69864.0,76741.0
76,FARRER PARK,27670.0,FARRER PARK,314190.0,302536.0
77,FERNVALE,330550.0,FERNVALE,372147.0,364630.0
78,FLORA DRIVE,120000.0,FLORA DRIVE,131933.0,150325.0
79,FORT CANNING,1330.0,FORT CANNING,38913.0,51821.0
80,FRANKEL,300130.0,FRANKEL,713105.0,846458.0
81,GALI BATU,620.0,GALI BATU,92748.0,101674.0
82,GEYLANG BAHRU,115550.0,GEYLANG BAHRU,243139.0,247791.0
83,GEYLANG EAST,295900.0,GEYLANG EAST,1092068.0,986147.0
84,GHIM MOH,110070.0,GHIM MOH,123407.0,131110.0
85,GOMBAK,87540.0,GOMBAK,188521.0,141613.0
86,GOODWOOD PARK,8080.0,GOODWOOD PARK,20818.0,28858.0
87,GREENWOOD PARK,0.0,GREENWOOD PARK,42970.0,47941.0
88,GUILIN,121020.0,GUILIN,217739.0,279736.0
89,GUL BASIN,0.0,GUL BASIN,10840.0,37012.0
90,GUL CIRCLE,0.0,GUL CIRCLE,64112.0,47891.0
91,HENDERSON HILL,119510.0,HENDERSON HILL,295928.0,264739.0
92,HILLCREST,80190.0,HILLCREST,101993.0,89260.0
93,HILLVIEW,166310.0,HILLVIEW,218382.0,234327.0
94,HOLLAND DRIVE,127460.0,HOLLAND DRIVE,203871.0,186468.0
95,HOLLAND ROAD,90600.0,HOLLAND ROAD,258637.0,224915.0
96,HONG KAH,511570.0,HONG KAH,1029196.0,1006067.0
97,HONG KAH NORTH,255320.0,HONG KAH NORTH,364482.0,316422.0
98,HOUGANG CENTRAL,43680.0,HOUGANG CENTRAL,684340.0,732683.0
99,HOUGANG EAST,197110.0,HOUGANG EAST,310342.0,300516.0
100,HOUGANG WEST,448230.0,HOUGANG WEST,738267.0,713555.0
101,INSTITUTION HILL,29060.0,INSTITUTION HILL,31791.0,31038.0
102,INTERNATIONAL BUSINESS PARK,0.0,INTERNATIONAL BUSINESS PARK,35721.0,32179.0
103,ISTANA NEGARA,0.0,ISTANA NEGARA,5884.0,3367.0
104,JELEBU,301500.0,JELEBU,839409.0,801699.0
105,JOO KOON,0.0,JOO KOON,297269.0,265338.0
106,JOO SENG,65420.0,JOO SENG,165705.0,164089.0
107,JURONG GATEWAY,1070.0,JURONG GATEWAY,630651.0,681164.0
108,JURONG ISLAND AND BUKOM,0.0,,,
109,JURONG PORT,0.0,JURONG PORT,32797.0,48431.0
110,JURONG RIVER,0.0,JURONG RIVER,42322.0,38670.0
111,JURONG WEST CENTRAL,611540.0,JURONG WEST CENTRAL,2012286.0,1979272.0
112,KAKI BUKIT,368550.0,KAKI BUKIT,716793.0,770405.0
113,KALLANG BAHRU,0.0,KALLANG BAHRU,216785.0,267523.0
114,KALLANG WAY,0.0,KALLANG WAY,151623.0,127141.0
115,KAMPONG BUGIS,7480.0,KAMPONG BUGIS,82982.0,94198.0
116,KAMPONG GLAM,1180.0,KAMPONG GLAM,49789.0,45929.0
117,KAMPONG JAVA,101780.0,KAMPONG JAVA,139153.0,160450.0
118,KAMPONG TIONG BAHRU,93820.0,KAMPONG TIONG BAHRU,159350.0,178442.0
119,KAMPONG UBI,118680.0,KAMPONG UBI,523473.0,545731.0
120,KANGKAR,248660.0,KANGKAR,356007.0,352570.0
121,KATONG,86040.0,KATONG,199992.0,201558.0
122,KEAT HONG,199140.0,KEAT HONG,306748.0,406637.0
123,KEBUN BAHRU,217270.0,KEBUN BAHRU,334284.0,267954.0
124,KEMBANGAN,348620.0,KEMBANGAN,585376.0,590603.0
125,KENT RIDGE,8460.0,KENT RIDGE,49338.0,45582.0
126,KHATIB,98920.0,KHATIB,360716.0,609083.0
127,KIAN TECK,0.0,KIAN TECK,60357.0,89508.0
128,KIM KEAT,77410.0,KIM KEAT,123835.0,60719.0
129,KOVAN,227240.0,KOVAN,351606.0,339207.0
130,KRANJI,0.0,KRANJI,57777.0,76819.0
131,LAKESIDE,9060.0,,,
132,LAVENDER,92470.0,LAVENDER,415454.0,371254.0
133,LEEDON PARK,56210.0,LEEDON PARK,62395.0,63835.0
134,LEONIE HILL,22740.0,LEONIE HILL,30258.0,35824.0
135,LIM CHU KANG,220.0,LIM CHU KANG,19660.0,13283.0
136,LITTLE INDIA,33800.0,LITTLE INDIA,22102.0,27047.0
137,LIU FANG,0.0,LIU FANG,49535.0,49045.0
138,LORONG 8 TOA PAYOH,73410.0,LORONG 8 TOA PAYOH,192709.0,229890.0
139,LORONG AH SOO,302540.0,LORONG AH SOO,727245.0,753096.0
140,LORONG CHUAN,76070.0,LORONG CHUAN,55332.0,59706.0
141,LORONG HALUS,0.0,LORONG HALUS,2894.0,4666.0
142,LORONG HALUS NORTH,0.0,,,
143,LOWER SELETAR,55700.0,LOWER SELETAR,167132.0,144350.0
144,LOYANG EAST,19900.0,LOYANG EAST,60996.0,40283.0
145,LOYANG WEST,1770.0,LOYANG WEST,62894.0,119059.0
146,MACKENZIE,450.0,MACKENZIE,91319.0,59978.0
147,MACPHERSON,261780.0,MACPHERSON,424723.0,427514.0
148,MALCOLM,24480.0,MALCOLM,133105.0,160887.0
149,MANDAI EAST,0.0,MANDAI EAST,91913.0,53908.0
150,MANDAI ESTATE,18760.0,MANDAI ESTATE,23674.0,14365.0
151,MANDAI WEST,0.0,MANDAI WEST,7603.0,7046.0
152,MARGARET DRIVE,107170.0,MARGARET DRIVE,214306.0,160703.0
153,MARINA CENTRE,0.0,MARINA CENTRE,126036.0,126637.0
154,MARINA EAST,0.0,,,
155,MARINA EAST (MP),0.0,,,
156,MARINA SOUTH,0.0,MARINA SOUTH,5737.0,6516.0
157,MARINE PARADE,256510.0,MARINE PARADE,587494.0,540766.0
158,MARITIME SQUARE,22990.0,MARITIME SQUARE,547673.0,534801.0
159,MARYMOUNT,277810.0,MARYMOUNT,524684.0,436917.0
160,MATILDA,270690.0,MATILDA,725817.0,767586.0
161,MAXWELL,0.0,MAXWELL,9881.0,13646.0
162,MEI CHIN,150540.0,MEI CHIN,206423.0,247383.0
163,MIDVIEW,321230.0,MIDVIEW,403834.0,393081.0
164,MONK'S HILL,9060.0,MONK'S HILL,4840.0,8721.0
165,MOULMEIN,74900.0,MOULMEIN,324132.0,310095.0
166,MOUNT EMILY,9700.0,,,
167,MOUNT PLEASANT,6130.0,MOUNT PLEASANT,57762.0,50991.0
168,MOUNTBATTEN,91630.0,MOUNTBATTEN,115992.0,122124.0
169,NASSIM,77000.0,NASSIM,167846.0,143161.0
170,NATIONAL UNIVERSITY OF S'PORE,3000.0,NATIONAL UNIVERSITY OF S'PORE,152274.0,136841.0
171,NATURE RESERVE,34260.0,NATURE RESERVE,77887.0,85537.0
